Sample, MC29, MC41, MC49, MC46, MC65, MC97, MC4, MC18, MC114
MCAV_167,"03,04","06,06","01,01","03,03","03,03","03,05","09,09","02,05","08,10"
MCAV_168,"05,08","06,06","07,15","03,03","03,03","03,06","06,35","02,02","09,14"
MCAV_169,"05,06","02,07","04,14","03,04","03,06","03,05","27,39","02,03","03,07"
MCAV_170,"04,04","02,02","03,14","01,03","03,03","05,06","05,05","04,04","05,13"
MCAV_171,"05,05","05,06","14,15","03,03","03,04","03,05","21,24","02,02","03,09"
MCAV_172,"04,05","05,06","02,14","03,03","03,03","05,05","39,41","08,10","12,16"
MCAV_173,"05,06","06,06","01,04","03,03","03,04","06,06","10,10","03,08","06,07"
MCAV_174,"03,04","06,06","02,02","03,03","03,03","03,05","08,19","04,04","06,09"
MCAV_175,"03,03","05,07","03,14","03,04","03,03","04,05","44,51","99,99","05,05"
MCAV_176,"05,05","05,06","04,14","03,04","03,04","05,05","23,23","02,02","03,17"
MCAV_177,"05,07","03,06","04,04","03,03","03,03","02,04","06,06","10,11","03,03"
MCAV_178,"04,06","03,05","14,17","03,03","03,05","04,05","01,01","06,07","03,11"
MCAV_179,"04,05","06,06","07,07","03,04","03,04","03,05","08,23","04,05","06,12"
MCAV_180,"05,06","03,05","02,14","03,03","02,04","05,05","07,07","06,06","05,08"
MCAV_181,"04,07","02,06","02,02","03,03","03,03","05,06","15,30","03,10","08,09"
MCAV_182,"01,05","05,05","04,15","03,03","03,03","04,05","06,08","04,06","05,09"
MCAV_183,"05,07","03,05","14,14","03,03","02,03","05,05","19,26","04,05","12,12"
MCAV_184,"03,07","02,07","07,07","03,03","03,03","05,06","08,28","02,02","07,09"
MCAV_185,"02,05","03,05","14,14","03,04","02,03","05,05","12,51","06,07","09,12"
MCAV_186,"06,06","03,05","14,14","01,03","03,03","04,06","29,51","05,05","07,07"
MCAV_187,"06,06","05,06","14,14","03,04","03,05","05,05","23,23","05,05","09,09"
MCAV_188,"01,05","02,02","99,99","03,06","03,03","03,06","15,15","05,05","07,08"
MCAV_189,"04,05","02,06","14,14","03,03","03,03","05,06","99,99","02,02","11,12"
MCAV_190,"02,07","02,06","02,07","03,03","03,03","02,05","05,13","05,05","08,13"
MCAV_191,"03,06","06,06","04,07","03,04","03,03","03,03","10,15","07,07","08,11"
MCAV_192,"05,06","02,06","01,01","03,04","04,04","03,03","10,17","02,02","08,08"
MCAV_193,"03,05","02,05","14,15","04,06","03,04","06,07","30,30","07,07","05,11"
MCAV_194,"07,07","06,06","02,02","03,03","03,04","04,05","10,10","03,06","08,09"
MCAV_195,"06,06","03,05","14,15","02,03","03,06","04,05","25,36","08,08","05,10"
MCAV_196,"02,07","06,06","01,07","03,03","04,05","05,05","18,21","04,04","09,15"
MCAV_197,"01,02","05,06","02,07","03,03","03,03","03,06","11,17","05,05","07,13"
MCAV_198,"03,06","06,06","99,99","03,03","03,03","02,05","16,16","08,09","08,09"
MCAV_199,"06,06","05,05","09,13","03,04","03,04","04,04","14,37","03,04","03,12"
MCAV_200,"05,09","05,06","01,01","03,03","03,04","05,05","03,06","04,04","06,12"
MCAV_201,"05,06","05,06","01,02","03,03","02,03","05,05","09,28","03,06","05,10"
MCAV_202,"03,06","05,07","14,14","03,04","03,04","05,07","14,26","99,99","08,10"
MCAV_203,"01,07","06,06","02,04","03,03","03,03","02,06","11,13","02,02","08,12"
MCAV_204,"04,06","05,05","14,15","03,04","03,03","05,06","16,55","05,06","06,09"
MCAV_205,"05,06","06,12","02,12","03,03","03,05","04,05","18,20","06,06","04,09"
MCAV_206,"06,06","06,06","01,15","03,03","03,04","02,05","08,27","04,08","05,09"
MCAV_207,"05,05","03,11","11,14","03,04","03,03","05,07","34,37","05,05","01,06"
MCAV_208,"03,04","06,06","01,03","03,04","03,03","05,05","24,41","05,06","08,09"
MCAV_209,"02,05","02,07","14,14","04,04","03,03","05,06","38,38","04,06","05,10"
MCAV_210,"05,07","05,07","99,99","03,04","03,03","05,06","21,21","99,99","05,18"
MCAV_211,"03,04","05,06","01,01","03,03","03,04","03,06","16,31","12,12","09,10"
MCAV_212,"04,06","02,06","08,08","03,03","03,04","03,05","20,22","03,03","06,09"
MCAV_213,"05,06","06,06","02,02","03,03","03,03","03,05","21,56","07,07","08,09"
MCAV_214,"06,06","06,06","02,02","03,03","03,03","02,03","10,16","07,07","09,11"
MCAV_215,"04,07","05,07","02,15","03,04","03,04","02,06","05,22","04,08","05,05"
MCAV_216,"04,05","06,06","01,02","03,03","03,04","03,04","06,06","04,04","12,13"
MCAV_217,"03,05","06,06","02,02","02,03","04,04","03,05","08,13","03,03","08,10"
MCAV_218,"03,03","06,06","01,01","03,03","03,04","02,05","13,20","04,04","08,11"
MCAV_219,"04,05","06,06","02,15","03,04","03,03","05,06","04,04","02,07","10,10"
MCAV_220,"03,07","06,06","02,02","03,03","04,05","03,04","08,17","05,07","08,09"
MCAV_221,"02,05","06,06","07,07","03,04","03,03","03,03","23,23","02,03","09,12"
MCAV_222,"04,06","05,05","14,14","03,03","03,03","99,99","06,28","04,05","11,11"
MCAV_223,"04,05","05,06","02,02","03,03","02,04","05,06","06,30","03,03","08,14"
MCAV_224,"04,05","05,11","03,04","04,04","03,04","05,06","38,40","04,04","05,10"
MCAV_225,"06,06","02,06","14,14","03,03","03,03","03,05","14,28","02,06","07,08"
MCAV_226,"03,05","05,05","02,03","03,04","03,03","03,07","11,16","06,06","05,05"
MCAV_227,"04,05","02,05","14,14","03,04","03,03","05,06","05,21","04,06","05,08"
MCAV_228,"07,07","02,06","02,14","03,03","03,03","99,99","05,42","04,06","10,10"
MCAV_229,"05,06","99,99","05,14","03,03","03,03","03,03","19,19","06,07","07,12"
MCAV_230,"03,04","05,06","05,14","03,04","03,03","03,05","16,22","03,06","09,10"
MCAV_231,"06,08","03,06","02,02","03,03","03,03","05,05","12,15","02,03","08,12"
MCAV_232,"04,06","03,06","01,04","03,04","03,03","03,03","99,99","04,06","10,10"
MCAV_233,"05,06","06,06","02,07","01,03","03,04","03,05","21,43","04,05","06,13"
MCAV_234,"05,06","06,06","03,04","03,04","03,03","99,99","99,99","04,04","05,05"
MCAV_235,"06,06","06,06","14,15","03,03","03,03","03,04","08,40","02,02","06,08"
MCAV_236,"05,06","02,03","99,99","03,03","03,03","05,07","25,28","02,03","03,09"
MCAV_237,"05,06","06,10","01,14","03,04","03,03","05,05","10,28","04,06","09,17"
MCAV_238,"05,06","06,06","02,15","03,03","03,04","05,05","17,27","04,04","09,10"
MCAV_239,"01,06","02,03","14,14","03,03","03,03","05,05","38,54","07,10","03,12"
MCAV_240,"05,05","06,06","01,01","03,03","03,03","05,06","09,11","03,06","09,14"
MCAV_241,"03,05","99,99","04,04","03,04","03,04","06,06","14,30","04,06","05,05"
MCAV_242,"04,05","08,08","03,03","03,04","03,04","05,06","06,24","06,06","05,05"
